latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
26.62130657481628,85.11755561082401,2017-04-28,0,34.1,17.74,2.81,0.0,67.0,4.4
26.88293,87.38201,2025-03-27,1,21.51,45.96,1.74,0.0,1749.0,1.387
28.216791874410443,81.58969356703047,2025-05-08,0,31.98,36.47,1.77,0.1,161.0,3.017
29.10348,80.38068,2016-04-27,1,28.08,13.16,1.79,0.0,734.0,3.298
30.4410877277585,81.42071374166487,2021-03-27,0,-4.09,42.8,2.55,0.0,5699.0,0.258
29.05214,81.264,2023-04-25,1,19.65,47.12,1.39,0.01,1051.0,1.21
26.58362,87.65585,2023-01-21,1,16.54,49.27,1.5,0.0,99.0,0.955
27.8215097037948,86.8727865262353,2016-04-09,0,-3.75,63.39,3.0,0.0,5323.0,0.169
27.075307402720767,87.5410480916439,2016-04-20,0,27.62,34.77,1.85,1.96,444.0,2.412
27.55441,85.09999,2016-04-09,1,28.16,20.07,3.02,0.0,1362.0,3.05
26.87211605674282,87.68576393984226,2016-04-13,0,25.54,21.27,2.95,0.01,1560.0,2.575
27.92240836945986,84.8211603682495,2024-04-20,0,20.45,29.48,2.49,0.0,1129.0,1.695
28.08942994301645,80.25064645639978,2024-04-28,0,32.98,20.56,2.51,2.37,162.0,3.991
27.57086650734001,86.39997878169379,2017-04-12,0,15.12,28.54,1.7,0.0,2036.0,1.228
27.74359,83.35127,2019-04-20,1,28.78,30.67,2.23,0.0,630.0,2.742
29.295223178592696,80.95246812742211,2021-05-01,0,15.03,49.82,1.93,0.59,1202.0,0.857
30.0403274984468,88.12295664461121,2025-03-17,0,-7.78,48.43,6.1,0.0,4913.0,0.175
28.24136,81.80688,2024-04-09,1,28.71,18.16,2.0,0.0,486.0,3.224
29.48344,81.35975,2018-01-10,1,6.92,18.98,1.43,0.0,2351.0,0.807
27.45556,84.88049,2024-04-05,1,26.79,28.94,2.06,0.0,447.0,2.502
26.90738,86.90639,2025-04-08,1,24.0,52.68,1.66,0.92,417.0,1.412
28.88048,81.29982,2016-04-30,1,26.2,14.99,1.49,0.0,1309.0,2.892
29.04256,81.37448,2022-04-26,1,26.16,25.0,1.91,0.09,1183.0,2.545
27.83473,82.81253,2023-04-18,1,26.0,32.79,2.79,0.0,594.0,2.259
27.488298165684743,85.97348106366894,2019-05-18,0,18.02,45.82,2.54,2.33,1802.0,1.12
29.27549,80.69428,2025-04-24,1,20.36,23.64,2.0,0.0,1547.0,1.826
27.04540381259844,80.43494894145009,2014-04-11,0,28.66,17.79,2.72,0.0,133.0,3.229
30.21800220863096,85.26446841856709,2024-04-10,0,-10.11,66.56,2.44,0.0,6062.0,0.095
29.6077590672102,80.75425861436112,2021-04-10,0,18.53,13.98,1.9,0.0,1612.0,1.835
27.52985,84.93448,2016-03-02,1,20.74,31.18,1.6,0.42,950.0,1.684
30.42729552437272,80.62459235285738,2024-05-01,0,-6.13,55.6,5.79,0.05,4738.0,0.172
27.7405,85.54564,2016-04-15,1,25.59,23.72,1.92,0.03,1229.0,2.503
28.303125145769087,82.57580599292415,2016-02-27,0,11.08,30.32,1.65,0.0,1029.0,0.92
27.49528,86.11073,2014-04-26,1,17.84,36.8,1.86,0.0,837.0,1.291
26.51349457772984,86.91117947773813,2016-02-16,0,22.86,29.76,2.95,0.0,76.0,1.957
26.75651,88.12448,2019-03-19,1,15.99,45.7,1.49,2.23,356.0,0.987
26.46546982252863,81.97381290940417,2016-04-20,0,35.42,15.86,4.38,0.0,103.0,4.842
27.48672,84.53819,2023-04-13,1,29.56,27.75,1.7,0.0,529.0,2.989
27.91108,85.01281,2024-04-10,1,15.8,29.33,1.85,0.13,1382.0,1.269
28.620789186508546,80.52642636846576,2025-04-06,0,30.27,16.43,1.26,0.0,175.0,3.601
27.74184,82.70277,2017-04-09,1,29.16,12.28,4.1,0.13,413.0,3.546
28.469226129651567,85.9488409754014,2016-04-29,0,-4.94,56.17,4.1,0.0,5092.0,0.185
26.627850086547504,89.41988783811044,2014-04-02,0,27.3,20.02,1.37,0.03,83.0,2.902
29.23904712721945,81.3802068478606,2019-03-18,0,15.61,52.96,1.33,0.06,2812.0,0.834
28.61100786241576,84.71772050723055,2014-04-15,0,-0.25,77.54,1.56,0.0,5107.0,0.135
29.417141103345504,84.220783835797,2024-05-01,0,-3.8,54.62,6.05,0.0,5084.0,0.209
29.93604788937344,85.54620644942112,2016-02-11,0,-16.95,65.76,8.32,0.0,5713.0,0.055
28.585218608910846,83.31748257285696,2016-04-11,0,11.61,44.28,2.61,0.0,3011.0,0.762
29.17153,80.48405,2024-04-16,1,26.28,36.85,1.57,0.0,1324.0,2.158
26.359900263241464,83.43864000719098,2021-02-28,0,26.5,29.89,3.37,0.0,78.0,2.427
28.52105,81.41028,2022-04-25,1,30.66,22.63,2.14,0.0,395.0,3.409
27.27514,85.61064,2024-04-30,1,26.64,22.96,2.9,0.0,371.0,2.689
29.30117,80.56607,2019-06-05,1,24.86,38.56,2.21,0.01,1639.0,1.93
27.63857,83.9141,2019-05-20,1,32.89,35.53,1.24,0.68,377.0,3.223
27.14351,85.33029,2024-04-04,1,29.32,26.71,2.71,0.0,163.0,2.99
30.36997147923993,88.68270335936661,2016-04-09,0,-2.1,27.34,4.97,0.0,5526.0,0.38
27.49216,85.51598,2023-01-23,1,13.46,39.7,1.9,0.0,2357.0,0.931
29.10811,80.20444,2019-05-08,1,32.97,15.24,3.27,0.0,515.0,4.256
28.68749,80.73035,2017-04-20,1,34.64,14.49,1.53,0.0,187.0,4.713
28.25951,81.86824,2016-04-09,1,24.77,23.22,1.9,0.0,701.0,2.399
29.369861703239827,84.74646214134088,2021-03-03,0,-7.8,44.04,4.45,0.0,4701.0,0.19
26.94128180606065,87.72580296148114,2022-11-27,0,16.75,75.03,1.06,0.0,1326.0,0.476
27.16148,85.26918,2023-03-07,1,24.22,32.69,2.33,0.0,172.0,2.035
30.132549928546712,80.5561805628178,2014-05-16,0,9.2,55.93,2.16,0.0,4977.0,0.513
28.83829,81.05183,2021-03-26,1,19.91,24.71,1.64,0.0,649.0,1.751
27.414118164202748,85.01806475852499,2024-04-23,0,28.44,22.24,2.77,0.0,454.0,3.015
28.72269395974889,88.53923204243489,2024-05-04,0,0.59,55.43,3.3,0.18,5333.0,0.284
26.72746,86.81859,2014-03-30,1,30.09,24.78,4.77,0.0,218.0,3.208
29.55005,80.68477,2021-04-03,1,14.74,12.39,1.97,0.0,2293.0,1.469
27.49525,84.7188,2025-04-02,1,25.31,20.11,1.64,0.0,396.0,2.578
30.25981321505707,88.14656155238305,2016-04-09,0,-2.76,29.19,5.4,0.0,5356.0,0.353
30.096747185568407,83.28898590934477,2021-03-21,0,-6.46,60.07,1.97,0.01,4590.0,0.15
29.659644060471265,81.64145888436101,2024-04-23,0,10.32,50.82,1.88,0.0,3038.0,0.617
28.90674153408205,85.77118696987057,2019-05-08,0,-0.95,58.53,4.19,0.0,5644.0,0.236
28.57868557325244,85.4036028793374,2024-04-24,0,-3.52,71.93,3.5,0.0,5411.0,0.132
26.75717,87.02283,2020-04-05,1,22.35,34.28,2.09,0.0,167.0,1.775
28.93365,80.63619,2024-04-25,1,27.03,20.55,1.75,0.0,1451.0,2.838
27.47893,83.95898,2023-04-18,1,32.53,26.13,2.92,0.0,219.0,3.619
28.0709,85.19797,2022-04-16,1,17.51,33.98,1.94,0.19,1573.0,1.321
29.40838,80.45134,2016-04-12,1,,,,,1450.0,
29.39640923744006,80.24728938444342,2024-04-08,0,19.96,23.22,1.92,0.0,928.0,1.791
26.68045,86.71467,2019-03-19,1,24.81,29.65,2.06,0.23,212.0,2.203
27.83083,82.19626,2019-05-09,1,29.88,18.59,3.63,0.0,222.0,3.431
28.38288902421843,89.0173815840878,2020-12-25,0,-12.74,38.38,4.14,0.0,5060.0,0.141
29.24667828692277,85.7584553787959,2021-04-08,0,-5.02,53.56,4.39,0.0,4604.0,0.195
28.02214868368967,88.1360702756265,2024-04-11,0,-5.05,76.23,3.12,1.84,6045.0,0.1
28.814981494654933,83.67388266294519,2019-05-09,0,-1.09,61.0,2.22,0.0,4098.0,0.22
27.486049310013705,89.05044406979157,2024-02-11,0,0.18,55.52,1.35,0.0,3975.0,0.275
27.98157,81.8365,2022-04-05,1,29.43,24.1,2.04,0.0,369.0,3.117
28.036114882303625,83.42378683391284,2024-04-21,0,24.9,24.52,3.46,0.0,807.0,2.377
28.68342,82.55882,2014-04-23,1,18.01,38.09,2.12,0.0,1913.0,1.279
28.797826979236365,83.41600097085575,2023-03-28,0,-6.67,72.72,1.84,0.41,4419.0,0.101
29.43647,80.61366,2021-04-11,1,18.63,16.48,2.07,0.0,1916.0,1.793
28.17465,81.86752,2023-05-14,1,32.33,28.73,2.05,0.56,325.0,3.452
27.61659223919233,81.96256718757034,2024-04-19,0,34.0,20.77,4.19,0.0,116.0,4.214
28.47006497827809,89.47264319457909,2024-05-03,0,-0.78,42.25,2.78,0.0,5148.0,0.333
27.719790486658244,80.53283119003831,2016-11-26,0,17.55,52.05,0.84,0.0,147.0,0.962
27.2402,85.85069,2016-04-12,1,31.92,16.39,4.06,0.0,552.0,3.958
26.41613948013535,81.34269922236194,2023-04-17,0,33.56,22.11,2.34,0.0,117.0,4.043
28.49559,82.04156,2025-04-04,1,21.57,23.34,2.25,0.0,1086.0,1.974
29.014878644456367,87.89881579064796,2024-02-12,0,-7.08,38.1,2.44,0.0,4106.0,0.222
28.34447673748197,84.46893021762483,2018-04-23,0,4.32,60.89,1.78,0.0,1918.0,0.325
27.8188,84.27139,2016-04-25,1,25.25,12.51,2.08,0.0,479.0,2.813
27.936977363070334,83.35567450163751,2016-04-09,0,24.25,20.11,2.7,0.0,1033.0,2.42
28.63389526240052,82.68162188719965,2025-04-24,0,18.79,27.58,2.32,0.0,2849.0,1.571
28.14803,82.02704,2016-04-12,1,29.74,20.36,3.64,0.0,676.0,3.329
27.07344583309589,89.11305625100918,2021-01-28,0,8.03,51.88,0.53,0.0,2587.0,0.517
27.40543,84.64007,2017-04-26,1,30.33,28.58,2.68,0.03,428.0,3.088
29.023302297518192,87.25806446072303,2014-04-29,0,2.15,23.55,1.34,0.07,5766.0,0.545
28.79475,81.18766,2017-04-29,1,25.55,25.57,1.57,0.92,416.0,2.436
26.76582371325414,86.40217980594838,2023-04-10,0,25.42,25.11,2.86,0.0,143.0,2.432
28.1220962792504,89.34212208968928,2019-05-07,0,1.24,69.69,2.65,1.54,4472.0,0.203
